clip_id,dataset,split,video_id,clip_index,start_frame,end_frame,clip_len,clip_label,anomaly_frame_count,anomaly_overlap,acceleration_max,acceleration_mean,acceleration_median,acceleration_min,acceleration_std,candidate_track_count,candidate_track_fraction,crowd_mean_direction_deg,crowd_mean_speed_px_s,curvature_max,curvature_mean,curvature_median,curvature_min,curvature_std,direction_hist_00,direction_hist_01,direction_hist_02,direction_hist_03,direction_hist_04,direction_hist_05,direction_hist_06,direction_hist_07,direction_hist_08,direction_hist_09,direction_hist_10,direction_hist_11,flow_deviation_max,flow_deviation_mean,flow_deviation_median,flow_deviation_min,flow_deviation_std,gt_overlap_track_count,gt_overlap_track_fraction,max_velocity_max,max_velocity_mean,max_velocity_median,max_velocity_min,max_velocity_std,moving_panel_fraction,no_motion_indicator,object_bridge,object_car,object_cyclist,object_dog,object_house,object_person,object_skyscraper,object_tree,object_unknown_motion,speed_ray_00,speed_ray_01,speed_ray_02,speed_ray_03,speed_ray_04,speed_ray_05,speed_ray_06,speed_ray_07,speed_ray_08,speed_ray_09,speed_ray_10,speed_ray_11,speed_ray_norm_00,speed_ray_norm_01,speed_ray_norm_02,speed_ray_norm_03,speed_ray_norm_04,speed_ray_norm_05,speed_ray_norm_06,speed_ray_norm_07,speed_ray_norm_08,speed_ray_norm_09,speed_ray_norm_10,speed_ray_norm_11,stationary_max,stationary_mean,stationary_median,stationary_min,stationary_panel_fraction,stationary_std,track_count,track_length_max,track_length_mean,track_length_median,track_length_min,track_length_std,velocity_max,velocity_mean,velocity_median,velocity_min,velocity_ratio_max,velocity_ratio_mean,velocity_ratio_median,velocity_ratio_min,velocity_ratio_std,velocity_std
avenue_training_01_clip_000000,avenue,training,01,0,1,32,32,0,0,0.0,12305.813687,5478.02552,4712.414472,627.973437,3643.044336,0,0.0,3.054187,238.394608,137.242157,72.733897,69.777525,43.615579,20.302695,0.378378,0.054054,0.032432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124324,0.410811,78.577007,20.50818,16.159864,1.226744,18.667497,0,0.0,1347.335333,680.412288,710.743449,88.388348,400.62146,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,189.646421,369.542069,500.316285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.404789,206.422134,0.379053,0.738617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.548463,0.412583,0.0,0.0,0.0,0.0,0.0,0.0,17,24.0,10.882353,8.0,3.0,7.505938,500.316285,238.394608,228.203384,53.908226,2.09869,1.0,0.957251,0.22613,0.492117,117.318052
avenue_training_01_clip_000001,avenue,training,01,1,17,48,32,0,0,0.0,26775.214045,11423.29706,7948.984909,5695.642732,7011.355795,0,0.0,7.863556,407.911881,159.884574,90.188749,83.087231,62.03809,24.695511,0.109091,0.084848,0.024242,0.018182,0.0,0.0,0.0,0.0,0.024242,0.0,0.018182,0.721212,100.672546,35.01135,16.288042,8.504109,32.480139,0,0.0,1338.025598,1073.192987,1135.024779,644.326198,190.235394,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,261.800716,360.111471,493.484034,678.026209,0.0,0.0,0.0,0.0,579.537068,0.0,526.168533,356.987619,0.386122,0.531117,0.727824,1.0,0.0,0.0,0.0,0.0,0.854741,0.0,0.77603,0.52651,0.0,0.0,0.0,0.0,0.0,0.0,13,26.0,12.692308,11.0,3.0,8.596821,678.026209,407.911881,360.111471,175.26672,1.662188,1.0,0.882817,0.429668,0.395799,161.451247
avenue_training_01_clip_000002,avenue,training,01,2,33,64,32,0,0,0.0,27049.760543,7859.542385,7891.321881,1185.910872,5623.298695,0,0.0,6.555946,302.188817,124.199365,77.55055,74.195327,27.349876,22.123761,0.238095,0.029762,0.107143,0.0,0.0,0.0,0.0,0.0,0.017857,0.0,0.202381,0.404762,118.943602,38.626995,37.187401,0.197196,33.103683,0,0.0,1270.457595,818.516314,877.229303,127.475488,360.119944,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,341.446197,403.559002,346.029793,0.0,0.0,0.0,0.0,0.0,178.815942,0.0,209.985884,293.743333,0.846087,1.0,0.857445,0.0,0.0,0.0,0.0,0.0,0.443097,0.0,0.520335,0.727882,0.0,0.0,0.0,0.0,0.0,0.0,17,29.0,9.882353,8.0,3.0,6.824544,621.034264,302.188817,300.486127,79.86006,2.05512,1.0,0.994365,0.264272,0.417457,126.150862
avenue_training_01_clip_000003,avenue,training,01,3,49,80,32,0,0,0.0,27257.733576,7111.289117,4987.247498,580.192342,6887.486395,0,0.0,-1.758928,287.166573,152.038598,72.028712,69.371029,14.036243,38.352265,0.405405,0.121622,0.027027,0.0,0.0,0.0,0.0,0.0,0.02027,0.02027,0.189189,0.216216,104.575502,37.839976,35.661094,0.896621,30.025058,0,0.0,1252.809343,613.963684,645.261115,100.0,359.516632,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,284.857042,311.704722,461.945625,0.0,0.0,0.0,0.0,0.0,173.344428,191.881411,360.836957,162.791725,0.616646,0.674765,1.0,0.0,0.0,0.0,0.0,0.0,0.375249,0.415377,0.781124,0.352405,0.0,0.0,0.0,0.0,0.0,0.0,16,29.0,9.25,7.5,3.0,7.137051,707.654672,287.166573,230.972874,75.76941,2.464265,1.0,0.804316,0.263852,0.624787,179.417914
avenue_training_01_clip_000004,avenue,training,01,4,65,96,32,0,0,0.0,13547.099375,5809.424008,5183.465379,379.25275,4276.250399,0,0.0,-6.214706,238.924392,121.323807,73.940615,78.111342,25.823731,23.340356,0.176471,0.147059,0.029412,0.0,0.0,0.0,0.0,0.017647,0.0,0.0,0.035294,0.594118,127.604607,29.424404,18.000491,0.784891,32.628008,0,0.0,1362.729338,668.177184,479.094197,62.5,423.720722,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,251.962921,218.430624,45.379535,0.0,0.0,0.0,0.0,125.649077,0.0,0.0,450.939866,252.735341,0.558751,0.48439,0.100633,0.0,0.0,0.0,0.0,0.278638,0.0,0.0,1.0,0.560464,0.0,0.0,0.0,0.0,0.0,0.0,15,24.0,11.333333,10.0,3.0,6.321041,456.490367,238.924392,257.91392,45.379535,1.910606,1.0,1.079479,0.189933,0.503799,120.369977
avenue_training_01_clip_000005,avenue,training,01,5,81,112,32,0,0,0.0,18484.975583,6579.292126,4978.06159,404.587032,4691.277595,0,0.0,-4.950468,246.661754,149.036243,75.61078,65.171067,18.752071,37.64268,0.225641,0.020513,0.020513,0.025641,0.0,0.0,0.0,0.0,0.0,0.061538,0.025641,0.620513,109.027951,30.114459,18.541172,0.245852,28.182119,0,0.0,1290.954105,640.968848,554.025842,51.53882,401.543349,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,207.878083,239.072567,859.550486,41.692688,0.0,0.0,0.0,0.0,0.0,106.988772,199.969988,271.16341,0.241845,0.278137,1.0,0.048505,0.0,0.0,0.0,0.0,0.0,0.124471,0.232645,0.315471,0.0,0.0,0.0,0.0,0.0,0.0,20,31.0,9.75,5.0,3.0,8.341912,859.550486,246.661754,210.535159,41.692688,3.484734,1.0,0.853538,0.169028,0.69955,172.552112
avenue_training_01_clip_000006,avenue,training,01,6,97,128,32,0,0,0.0,26906.509484,6159.102989,3527.845143,199.166987,6780.557658,0,0.0,18.680214,232.596344,173.920411,62.809885,63.524946,3.154107,35.76108,0.31746,0.103175,0.214286,0.019841,0.0,0.0,0.0,0.011905,0.0,0.027778,0.0,0.305556,144.46274,40.362943,27.682155,3.370494,34.157126,0,0.0,1372.953022,589.954956,324.518875,51.53882,454.969268,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,207.139157,143.048953,290.537147,46.027053,0.0,0.0,0.0,40.491929,0.0,591.14159,0.0,194.935393,0.350405,0.241988,0.491485,0.077861,0.0,0.0,0.0,0.068498,0.0,1.0,0.0,0.329761,0.0,0.0,0.0,0.0,0.0,0.0,27,30.0,9.333333,6.0,3.0,7.620635,629.131563,232.596344,202.397399,40.491929,2.704821,1.0,0.870166,0.174087,0.679396,158.025058
avenue_training_01_clip_000007,avenue,training,01,7,113,144,32,0,0,0.0,27751.596207,8118.357721,7128.984144,447.427093,5283.805128,0,0.0,0.589132,302.006345,164.176869,74.384308,74.941381,9.605204,27.709059,0.368201,0.16318,0.075314,0.0,0.0,0.0,0.0,0.0,0.0,0.016736,0.108787,0.267782,84.665053,29.402953,22.951449,2.875475,21.903945,0,0.0,1359.802375,786.785442,769.029421,187.5,362.292825,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,281.355369,302.856485,248.566021,0.0,0.0,0.0,0.0,0.0,0.0,339.689156,330.849867,314.404557,0.828273,0.891569,0.731746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.973978,0.925565,0.0,0.0,0.0,0.0,0.0,0.0,27,30.0,8.851852,5.0,3.0,6.775247,597.099301,302.006345,286.328293,136.818792,1.977108,1.0,0.948087,0.453033,0.405645,122.507513
avenue_training_01_clip_000008,avenue,training,01,8,129,160,32,0,0,0.0,20328.818886,5782.615938,4843.956054,217.999288,4566.738569,0,0.0,6.599161,244.900414,109.464104,61.423672,74.462948,8.139155,28.218402,0.491694,0.079734,0.023256,0.0,0.0,0.0,0.0,0.0,0.016611,0.019934,0.026578,0.342193,98.786874,32.193727,22.089022,0.076963,26.411899,0,0.0,1333.463535,634.058361,592.51046,76.034532,396.303377,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,217.712489,241.400421,112.677724,0.0,0.0,0.0,0.0,0.0,187.776048,69.935699,332.92094,319.873107,0.653947,0.725098,0.338452,0.0,0.0,0.0,0.0,0.0,0.564026,0.210067,1.0,0.960808,0.0,0.0,0.0,0.0,0.0,0.0,24,31.0,12.541667,7.0,3.0,9.733872,562.36026,244.900414,240.817446,69.935699,2.296281,1.0,0.983328,0.285568,0.480585,117.695613
avenue_training_01_clip_000009,avenue,training,01,9,145,176,32,0,0,0.0,16377.573872,6048.620295,6286.685116,308.8454,3586.383412,0,0.0,14.943184,255.548153,172.002527,70.738834,70.72727,1.33222,35.278904,0.453521,0.256338,0.011268,0.0,0.0,0.008451,0.0,0.0,0.0,0.008451,0.011268,0.250704,156.260604,32.81717,25.809408,2.744941,32.143066,0,0.0,1362.557338,810.069139,860.71494,88.388348,393.157088,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,261.583409,249.383641,122.801633,0.0,0.0,82.21144,0.0,0.0,0.0,243.755861,149.531627,313.609947,0.834104,0.795203,0.391574,0.0,0.0,0.262146,0.0,0.0,0.0,0.777258,0.476808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,31.0,14.791667,11.5,3.0,10.551379,478.746142,255.548153,247.199685,82.21144,1.873409,1.0,0.967331,0.321706,0.41589,106.279805
